Series Name,"Series Code","Country Name","Country Code","2015 [YR2015]"
"Population, total","SP.POP.TOTL","St. Vincent and the Grenadines","VCT","106482"
"Population, total","SP.POP.TOTL","Sudan","SDN","38171178"
"Population, total","SP.POP.TOTL","Suriname","SUR","575475"
"Population, total","SP.POP.TOTL","Eswatini","SWZ","1133936"
"Population, total","SP.POP.TOTL","Sweden","SWE","9799186"
"Population, total","SP.POP.TOTL","Switzerland","CHE","8282396"
"Population, total","SP.POP.TOTL","Syrian Arab Republic","SYR","19205178"
"Population, total","SP.POP.TOTL","Tajikistan","TJK","8524063"
"Population, total","SP.POP.TOTL","Tanzania","TZA","52542823"
"Population, total","SP.POP.TOTL","Thailand","THA","70294397"
"Population, total","SP.POP.TOTL","Timor-Leste","TLS","1205813"
"Population, total","SP.POP.TOTL","Togo","TGO","7473229"
"Population, total","SP.POP.TOTL","Tonga","TON","106122"
"Population, total","SP.POP.TOTL","Trinidad and Tobago","TTO","1460177"
"Population, total","SP.POP.TOTL","Tunisia","TUN","11557779"
"Population, total","SP.POP.TOTL","Turkiye","TUR","78218479"
"Population, total","SP.POP.TOTL","Turkmenistan","TKM","5766431"
"Population, total","SP.POP.TOTL","Turks and Caicos Islands","TCA","36538"
"Population, total","SP.POP.TOTL","Tuvalu","TUV","10877"
"Population, total","SP.POP.TOTL","Uganda","UGA","37477356"
"Population, total","SP.POP.TOTL","Ukraine","UKR","45167350"
"Population, total","SP.POP.TOTL","United Arab Emirates","ARE","8916899"
"Population, total","SP.POP.TOTL","United Kingdom","GBR","65116219"
"Population, total","SP.POP.TOTL","United States","USA","320738994"
"Population, total","SP.POP.TOTL","Uruguay","URY","3402818"
"Population, total","SP.POP.TOTL","Uzbekistan","UZB","31298900"
"Population, total","SP.POP.TOTL","Vanuatu","VUT","276438"
"Population, total","SP.POP.TOTL","Venezuela, RB","VEN","30529716"
"Population, total","SP.POP.TOTL","Viet Nam","VNM","92191398"
"Population, total","SP.POP.TOTL","Virgin Islands (U.S.)","VIR","107712"
"Population, total","SP.POP.TOTL","West Bank and Gaza","PSE","4270092"
"Population, total","SP.POP.TOTL","Yemen, Rep.","YEM","28516545"
"Population, total","SP.POP.TOTL","Zambia","ZMB","16248230"
"Population, total","SP.POP.TOTL","Zimbabwe","ZWE","14154937"
